,Season,Transfer Type,Transfer Sum
0,10/11,Arrivées,12000000.0
1,10/11,Départs,7200000.0
2,11/12,Arrivées,23000000.0
3,11/12,Départs,75350000.0
4,12/13,Arrivées,64730000.0
5,12/13,Départs,64950000.0
6,13/14,Arrivées,56000000.0
7,13/14,Départs,11600000.0
8,14/15,Arrivées,47000000.0
9,14/15,Départs,26200000.0
10,15/16,Arrivées,118980000.0
11,15/16,Départs,2500000.0
12,16/17,Arrivées,26500000.0
13,16/17,Départs,8000000.0
14,17/18,Arrivées,113000000.0
15,17/18,Départs,162000000.0
16,18/19,Arrivées,152850000.0
17,18/19,Départs,8100000.0
18,19/20,Arrivées,77650000.0
19,19/20,Départs,50300000.0
20,20/21,Arrivées,152800000.0
21,20/21,Départs,17400000.0
22,21/22,Arrivées,84000000.0
23,21/22,Départs,29400000.0
24,22/23,Arrivées,167400000.0
25,22/23,Départs,23800000.0
26,23/24,Arrivées,192360000.0
27,23/24,Départs,4900000.0
